"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27"
"1" 0.493389262227709 0 0 0 0 -0.757605592574929 -0.201560166404394 0.28395926559973 0 0 0 0.469542198829534 0 0 0.113640179149801 0 0 0.0028939099509707 -0.265280486578732 0 -0.674583143634376 0.148628225646911 0 -0.139942726029732 0 0 0
"2" 0.454042743673874 0 0 0 0 -0.750470651661049 -0.139490342907193 0.24272884848098 0 0 0 0.497367147725656 0 0 0.180162838748011 0 0 0 -0.331167118778213 0 -0.680046573520845 0.15924366392466 0 -0.123361723842803 0 0 0
"3" 0.50081136882147 0 0 0 0 -0.541288086514121 -0.181034105897232 0.227046049431299 0 0 -0.0665708766596376 0.275362281027299 0 0 0.115630167604584 0 0 0 -0.250352086326783 0 -0.667039854969574 0.123621099640312 0 -0.119310682959882 0 0 0
"4" 0.42401548695151 0 0 0 0 -0.702401023861365 -0.145122525364627 0.251379019884385 0 0 0 0.431623890775289 0 0 0.227342138413618 0 0 0 -0.376592242355174 0 -0.62034227325186 0.175104726144938 0 -0.150342484269704 0 0 0
"5" 0.525028681655 0 0 0 0 -0.549881859645609 -0.187206700870648 0.295780992155001 0 0 0 0.256484904954093 0 0 0.163659309411327 0 0 0 -0.338882240163849 0 -0.709257577068867 0.158438973448956 0 -0.0917176882542157 0 0 0
"6" 0.481093867211952 0 0 0 0 -0.717458641801422 -0.153585728218539 0.266252153596708 0 0 0 0.448602719772154 0 -0.0271481732053652 0.221222280421288 0 0 0.0524408091596439 -0.388238444569262 0 -0.689907342937776 0.17207379322297 0 -0.119779802268577 0 0 0
"7" 0.495182370872099 0 0 0 0 -0.491983414857113 -0.150780362521691 0.251440001402514 0 0 0 0.202111973154058 0 0.00194380027003702 0.212190761858157 0 0 0 -0.384144083755763 0 -0.672864520221043 0.182521213261545 0 -0.113326755569767 0 0 0
"8" 0.626315688088319 0 0 0 0 -0.426897174849449 -0.231344815446798 0.329325553132289 0 0 0 0.171449431663261 0 0 0.179130775252069 0 0 0 -0.39424371883827 0 -0.812733429717949 0.185039625314821 0 -0.0448309302672893 0 0 0
"9" 0.531587103104281 0 0 0 0 -0.676529814558778 -0.185281866693654 0.26932802470527 0 0 0 0.419217203810417 0 0 0.206438028055832 0 0 0 -0.367922033060802 0 -0.680786106308187 0.189649236067023 0 -0.0975785359237894 0 0 0
"10" 0.517232570276716 0 0 0 0 -0.633874371264875 -0.131668639221516 0.211411958997677 0 0 0 0.373538452080651 0 0 0.0702928834076664 0 0 0 -0.21131119085031 0 -0.695043333193971 0.110029901227119 0 -0.0902888006301208 0 0 0
"11" 0.535159418272772 0 0 0 0 -0.762951022830302 -0.238918351603821 0.342790480768479 0 0 0 0.468870646080324 0 0 0.137948359343742 0 0 0 -0.322328052267774 0 -0.726694555467895 0.182889010019735 0 -0.122018186494152 0 0 0
"12" 0.522746596620393 0 0 0 0 -0.392221763570856 -0.174289329755387 0.263936582221033 0 0 0 0.102866340283074 0 0 0.193556963321833 0 0 0 -0.354721070843277 0 -0.70611266893507 0.17855953242528 0 -0.108413465989407 0 0 0
"13" 0.523023353421568 0 0 0 0 -0.756348505842423 -0.171648226729408 0.201811152619218 0 0 0 0.479026538338031 0 0 0.0836881289947998 0 0 0 -0.219903101539927 0 -0.63726710491393 0.110827177456055 0 -0.129886802799795 0 0 0
