pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,player_id,season
49,ATL,Cory Carr,Texas Tech,1.0,42,624,171.0,49.0,66.0,0.329,0.167,0.75,14.9,4.1,1.2,1.6,-1.2,-0.089,-8.2,-1.0,carrco01,1998
50,CHH,Andrew Betts,Cal State Long Beach,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bettsan01,1998
51,MIA,Corey Brewer,Oklahoma,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,breweco02,1998
52,SAS,Derrick Dial,Eastern Michigan,4.0,82,687,253.0,133.0,63.0,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.6,0.045,-2.2,0.0,dialde01,1998
53,DAL,Greg Buckner,Clemson,10.0,570,10895,2878.0,1593.0,719.0,0.45,0.334,0.757,19.1,5.0,2.8,1.3,20.9,0.092,-0.9,3.0,buckngr01,1998
54,DEN,Tremaine Fowlkes,Fresno State,4.0,103,1233,301.0,228.0,54.0,0.409,0.2,0.791,12.0,2.9,2.2,0.5,2.1,0.08,-2.0,0.0,fowlktr01,1998
55,DEN,Ryan Bowen,Iowa,10.0,507,6502,1319.0,1060.0,250.0,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,0.092,-0.8,2.0,bowenry01,1998
56,VAN,J.R. Henderson,UCLA,1.0,30,331,97.0,47.0,22.0,0.365,0.4,0.556,11.0,3.2,1.6,0.7,-0.2,-0.025,-4.8,-0.2,hendejr01,1998
57,UTA,Torraye Braggs,Xavier,2.0,22,178,46.0,51.0,7.0,0.475,0.0,0.667,8.1,2.1,2.3,0.3,0.3,0.071,-4.9,-0.1,braggto01,1998
58,CHI,Maceo Baston,Michigan,4.0,105,831,286.0,175.0,26.0,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2.3,0.134,-1.2,0.2,bastoma01,1998
1,CHI,Elton Brand,Duke,17.0,1058,34910,16827.0,9040.0,2184.0,0.5,0.095,0.736,33.0,15.9,8.5,2.1,109.6,0.151,2.2,37.3,brandel01,1999
2,VAN,Steve Francis,Maryland,9.0,576,21632,10446.0,3215.0,3473.0,0.429,0.341,0.797,37.6,18.1,5.6,6.0,54.1,0.12,2.2,22.7,francst01,1999
3,CHH,Baron Davis,UCLA,13.0,835,28592,13447.0,3183.0,6025.0,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106,2.6,33.1,davisba01,1999
4,LAC,Lamar Odom,Rhode Island,14.0,961,32131,12781.0,8059.0,3554.0,0.463,0.312,0.693,33.4,13.3,8.4,3.7,77.0,0.115,1.9,31.4,odomla01,1999
5,TOR,Jonathan Bender,,8.0,262,3847,1453.0,582.0,170.0,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047,-2.6,-0.6,bendejo01,1999
6,MIN,Wally Szczerbiak,Miami University,10.0,651,20052,9195.0,2602.0,1532.0,0.485,0.406,0.86,30.8,14.1,4.0,2.4,53.3,0.127,0.7,13.6,szczewa02,1999
7,WAS,Richard Hamilton,UConn,14.0,921,29559,15708.0,2852.0,3125.0,0.449,0.346,0.852,32.1,17.1,3.1,3.4,62.8,0.102,-0.2,13.2,hamilri01,1999
8,CLE,Andre Miller,Utah,17.0,1304,40268,16278.0,4795.0,8524.0,0.461,0.217,0.807,30.9,12.5,3.7,6.5,100.8,0.12,1.3,33.4,millean02,1999
9,PHO,Shawn Marion,UNLV,16.0,1163,40097,17700.0,10101.0,2198.0,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,0.15,2.7,47.6,mariosh01,1999
10,ATL,Jason Terry,Arizona,19.0,1410,42034,18881.0,3274.0,5415.0,0.444,0.38,0.845,29.8,13.4,2.3,3.8,102.0,0.116,1.5,37.4,terryja01,1999
11,CLE,Trajan Langdon,Duke,3.0,119,1738,647.0,159.0,152.0,0.416,0.396,0.91,14.6,5.4,1.3,1.3,2.9,0.079,-1.1,0.4,langdtr01,1999
12,TOR,Aleksandar Radojević,Barton County Community College,2.0,15,152,26.0,36.0,7.0,0.308,0.0,0.625,10.1,1.7,2.4,0.5,-0.4,-0.13,-11.6,-0.4,radojal01,1999
13,SEA,Corey Maggette,Duke,14.0,827,23358,13198.0,4022.0,1696.0,0.453,0.324,0.822,28.2,16.0,4.9,2.1,62.2,0.128,0.3,13.3,maggeco01,1999
14,MIN,William Avery,Duke,3.0,142,1205,379.0,93.0,199.0,0.33,0.255,0.714,8.5,2.7,0.7,1.4,-0.9,-0.034,-5.6,-1.1,averywi01,1999
15,NYK,Frédéric Weis,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weisfr01,1999
16,CHI,Metta World Peace,St. John's,17.0,991,31440,13058.0,4448.0,2631.0,0.414,0.339,0.715,31.7,13.2,4.5,2.7,61.1,0.093,1.2,25.4,artesro01,1999
17,ATL,Cal Bowdler,Old Dominion,3.0,142,1383,424.0,272.0,29.0,0.404,0.182,0.768,9.7,3.0,1.9,0.2,1.8,0.061,-3.2,-0.4,bowdlca01,1999
18,DEN,James Posey,Xavier,12.0,864,23260,7419.0,4061.0,1413.0,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,0.107,0.3,13.7,poseyja01,1999
19,UTA,Quincy Lewis,Minnesota,4.0,159,1853,567.0,210.0,96.0,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02,-4.9,-1.4,lewisqu01,1999
20,ATL,Dion Glover,Georgia Tech,6.0,294,6132,2407.0,897.0,455.0,0.411,0.317,0.756,20.9,8.2,3.1,1.5,5.8,0.045,-1.8,0.3,glovedi01,1999
21,GSW,Jeff Foster,Texas State University,13.0,764,15750,3747.0,5248.0,703.0,0.497,0.13,0.615,20.6,4.9,6.9,0.9,47.5,0.145,-0.4,6.3,fosteje01,1999
22,HOU,Kenny Thomas,New Mexico,11.0,632,17306,5876.0,4341.0,975.0,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086,-1.3,3.1,thomake01,1999
23,LAL,Devean George,Augsburg College,11.0,630,11682,3536.0,1975.0,543.0,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075,-1.5,1.4,georgde01,1999
24,UTA,Andrei Kirilenko,,13.0,797,23916,9431.0,4352.0,2169.0,0.474,0.31,0.754,30.0,11.8,5.5,2.7,75.4,0.151,4.9,41.7,kirilan01,1999
25,MIA,Tim James,Miami (FL),3.0,43,261,68.0,46.0,11.0,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0.0,-0.003,-7.0,-0.3,jamesti01,1999
26,IND,Vonteego Cummings,Pitt,3.0,199,3789,1381.0,373.0,534.0,0.383,0.321,0.726,19.0,6.9,1.9,2.7,2.2,0.028,-2.4,-0.3,cummivo01,1999
27,ATL,Jumaine Jones,Georgia,8.0,471,9780,3325.0,1987.0,408.0,0.424,0.349,0.704,20.8,7.1,4.2,0.9,15.1,0.074,-1.2,2.1,jonesju01,1999
28,UTA,Scott Padgett,Kentucky,8.0,448,5613,1874.0,1227.0,325.0,0.41,0.373,0.736,12.5,4.2,2.7,0.7,13.2,0.113,-0.4,2.3,padgesc01,1999
29,SAS,Leon Smith,,2.0,15,104,33.0,33.0,3.0,0.393,0.0,0.647,6.9,2.2,2.2,0.2,0.2,0.112,-2.9,0.0,smithle01,1999
30,LAL,John Celestand,Villanova,1.0,16,185,37.0,11.0,20.0,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.6,-0.3,celesjo01,1999
31,LAC,Rico Hill,Illinois State,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hillri01,1999
32,CHI,Michael Ruffin,Tulsa,9.0,414,5966,716.0,1632.0,250.0,0.407,0.0,0.459,14.4,1.7,3.9,0.6,6.8,0.055,-3.3,-2.0,ruffimi01,1999
33,DEN,Chris Herren,Fresno State,2.0,70,1005,224.0,73.0,167.0,0.336,0.328,0.692,14.4,3.2,1.0,2.4,0.5,0.025,-4.5,-0.6,herrech01,1999
34,NJN,Evan Eschmeyer,Northwestern,4.0,153,2138,421.0,601.0,76.0,0.463,0.0,0.621,14.0,2.8,3.9,0.5,4.0,0.09,-3.0,-0.5,eschmev01,1999
35,WAS,Calvin Booth,Penn State,10.0,366,4477,1190.0,1010.0,151.0,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8.0,0.086,-1.8,0.3,boothca01,1999
36,DAL,Wang Zhizhi,,5.0,137,1256,604.0,231.0,39.0,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,-1.6,0.1,zhizhwa01,1999
37,VAN,Obinna Ekezie,Maryland,4.0,143,1516,510.0,383.0,31.0,0.423,0.0,0.72,10.6,3.6,2.7,0.2,1.7,0.054,-5.4,-1.3,ekeziob01,1999
38,ORL,Laron Profit,Maryland,4.0,135,1537,441.0,209.0,166.0,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021,-2.1,0.0,profila01,1999
39,CLE,A.J. Bramlett,Arizona,1.0,8,61,8.0,22.0,0.0,0.19,0.0,0.0,7.6,1.0,2.8,0.0,-0.2,-0.129,-15.9,-0.2,bramlaj01,1999
40,DAL,Gordan Giriček,,6.0,384,8824,3670.0,941.0,584.0,0.442,0.368,0.823,23.0,9.6,2.5,1.5,8.0,0.044,-2.5,-1.1,giricgo01,1999
41,DEN,Francisco Elson,California,9.0,472,7207,1726.0,1638.0,260.0,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,-2.7,-1.3,elsonfr01,1999
42,MIN,Louis Bullock,Michigan,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bullolo01,1999
43,CHH,Lee Nailon,TCU,6.0,306,5820,2622.0,936.0,298.0,0.474,0.111,0.786,19.0,8.6,3.1,1.0,8.0,0.066,-2.0,0.0,nailole01,1999
44,HOU,Tyrone Washington,Mississippi State,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,washity01,1999
45,SAC,Ryan Robertson,Kansas,1.0,1,25,5.0,0.0,0.0,0.333,0.0,1.0,25.0,5.0,0.0,0.0,0.0,-0.022,-5.4,0.0,roberry01,1999
46,NYK,J.R. Koch,Iowa,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kochjr01,1999
47,PHI,Todd MacCulloch,Washington,4.0,223,3439,1369.0,888.0,121.0,0.541,0.0,0.642,15.4,6.1,4.0,0.5,11.9,0.166,0.3,2.0,maccuto01,1999
48,MIL,Galen Young,UNC Charlotte,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,youngga01,1999
49,CHI,Lari Ketner,UMass,2.0,25,139,34.0,34.0,2.0,0.406,0.0,0.667,5.6,1.4,1.4,0.1,0.0,-0.015,-7.4,-0.2,ketnela01,1999
50,HOU,Venson Hamilton,Nebraska,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hamilve01,1999
51,VAN,Antwain Smith,Saint Paul's College,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smithan03,1999
52,POR,Roberto Bergersen,Boise State,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bergero01,1999
53,MIA,Rodney Buford,Creighton,5.0,230,4182,1472.0,598.0,179.0,0.412,0.3,0.758,18.2,6.4,2.6,0.8,2.9,0.033,-3.8,-1.9,buforro01,1999
54,DET,Melvin Levett,Cincinnati,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,levetme01,1999
55,BOS,Kris Clack,Texas,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clackkr01,1999
56,GSW,Tim Young,Stanford,1.0,25,137,54.0,35.0,5.0,0.333,0.0,0.778,5.5,2.2,1.4,0.2,0.2,0.058,-4.9,-0.1,youngti01,1999
57,SAS,Manu Ginóbili,,16.0,1057,26859,14043.0,3697.0,4001.0,0.447,0.369,0.827,25.4,13.3,3.5,3.8,106.4,0.19,5.0,47.6,ginobma01,1999
58,UTA,Eddie Lucas,Virginia Tech,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lucased01,1999
1,NJN,Kenyon Martin,Cincinnati,15.0,757,23134,9325.0,5159.0,1439.0,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48.0,0.1,0.1,12.1,martike01,2000
2,VAN,Stromile Swift,LSU,9.0,547,10804,4582.0,2535.0,275.0,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,swiftst01,2000
3,LAC,Darius Miles,,7.0,446,11730,4507.0,2190.0,840.0,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1.0,3.0,milesda01,2000
4,CHI,Marcus Fizer,Iowa State,6.0,289,6032,2782.0,1340.0,352.0,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,fizerma01,2000
5,ORL,Mike Miller,Florida,17.0,1032,27812,10973.0,4376.0,2666.0,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8,millemi01,2000
6,ATL,DerMarr Johnson,Cincinnati,7.0,344,5930,2121.0,769.0,304.0,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052,-1.6,0.6,johnsde03,2000
7,CHI,Chris Mihm,Texas,8.0,436,8758,3262.0,2302.0,223.0,0.459,0.231,0.704,20.1,7.5,5.3,0.5,13.3,0.073,-3.9,-4.3,mihmch01,2000
8,CLE,Jamal Crawford,Michigan,20.0,1327,38994,19419.0,2948.0,4541.0,0.41,0.348,0.862,29.4,14.6,2.2,3.4,60.7,0.075,-0.1,18.4,crawfja01,2000
9,HOU,Joel Przybilla,Minnesota,13.0,592,11733,2293.0,3665.0,256.0,0.552,0.0,0.557,19.8,3.9,6.2,0.4,23.0,0.094,-1.7,0.8,przybjo01,2000
10,ORL,Keyon Dooling,Missouri,13.0,728,14134,5067.0,964.0,1601.0,0.416,0.349,0.799,19.4,7.0,1.3,2.2,18.5,0.063,-2.0,-0.2,doolike01,2000
11,BOS,Jérôme Moïso,UCLA,5.0,145,1392,386.0,395.0,38.0,0.489,0.0,0.593,9.6,2.7,2.7,0.3,2.1,0.074,-2.9,-0.3,moisoje01,2000
12,DAL,Etan Thomas,Syracuse,9.0,409,7084,2341.0,1927.0,149.0,0.513,0.0,0.603,17.3,5.7,4.7,0.4,14.9,0.101,-2.1,-0.2,thomaet01,2000
13,ORL,Courtney Alexander,Fresno State,3.0,187,4067,1690.0,409.0,227.0,0.422,0.339,0.813,21.7,9.0,2.2,1.2,4.1,0.048,-3.7,-1.7,alexaco02,2000
14,DET,Mateen Cleaves,Michigan State,6.0,167,1863,609.0,175.0,310.0,0.389,0.267,0.728,11.2,3.6,1.0,1.9,-0.8,-0.021,-5.6,-1.7,cleavma01,2000
15,MIL,Jason Collier,Georgia Tech,5.0,151,2178,841.0,443.0,51.0,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,-5.4,-1.9,collija02,2000
16,SAC,Hedo Türkoğlu,,15.0,997,26695,11022.0,3971.0,2832.0,0.426,0.384,0.784,26.8,11.1,4.0,2.8,63.3,0.114,0.9,19.6,turkohe01,2000
17,SEA,Desmond Mason,Oklahoma State,10.0,643,19641,7767.0,2863.0,1049.0,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.056,-2.4,-2.1,masonde01,2000
18,LAC,Quentin Richardson,DePaul,13.0,783,20785,8032.0,3666.0,1138.0,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076,-0.4,8.5,richaqu01,2000
19,CHH,Jamaal Magloire,Kentucky,12.0,680,14621,4917.0,4408.0,386.0,0.48,0.0,0.639,21.5,7.2,6.5,0.6,27.7,0.091,-2.9,-3.1,magloja01,2000
20,PHI,Speedy Claxton,Hofstra,7.0,334,8548,3096.0,830.0,1441.0,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,-0.3,3.6,claxtsp01,2000
21,TOR,Morris Peterson,Michigan State,11.0,711,19366,7628.0,2483.0,1090.0,0.418,0.373,0.773,27.2,10.7,3.5,1.5,35.7,0.089,-0.4,7.6,petermo01,2000
22,NYK,Donnell Harvey,Florida,5.0,205,3318,1150.0,827.0,161.0,0.46,0.1,0.659,16.2,5.6,4.0,0.8,4.7,0.069,-2.6,-0.5,harvedo01,2000
23,UTA,DeShawn Stevenson,,13.0,824,18396,5930.0,1832.0,1355.0,0.406,0.34,0.698,22.3,7.2,2.2,1.6,12.1,0.032,-2.7,-3.5,stevede01,2000
24,CHI,Dalibor Bagarić,,3.0,95,973,251.0,238.0,37.0,0.361,0.0,0.559,10.2,2.6,2.5,0.4,-0.9,-0.043,-7.9,-1.5,bagarda01,2000
25,PHO,Jake Tsakalidis,,7.0,315,5005,1497.0,1238.0,101.0,0.49,0.0,0.657,15.9,4.8,3.9,0.3,9.9,0.095,-3.1,-1.4,tsakaja01,2000
26,DEN,Mamadou N'Diaye,Auburn,5.0,69,858,262.0,225.0,8.0,0.427,0.0,0.736,12.4,3.8,3.3,0.1,1.8,0.101,-4.2,-0.5,ndiayma02,2000
27,IND,Primož Brezec,,8.0,342,6192,2452.0,1327.0,179.0,0.498,0.167,0.701,18.1,7.2,3.9,0.5,10.8,0.084,-3.1,-1.7,brezepr01,2000
28,POR,Erick Barkley,St. John's,2.0,27,266,77.0,21.0,40.0,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0.2,0.027,-3.7,-0.1,barkler01,2000
29,LAL,Mark Madsen,Stanford,9.0,453,5335,975.0,1157.0,181.0,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.074,-4.1,-2.9,madsema01,2000
30,LAC,Marko Jarić,,7.0,447,11246,3193.0,1200.0,1600.0,0.404,0.344,0.73,25.2,7.1,2.7,3.6,12.1,0.052,-0.7,3.8,jaricma01,2000
31,DAL,Dan Langhi,Vanderbilt,4.0,133,1253,393.0,199.0,39.0,0.391,0.289,0.613,9.4,3.0,1.5,0.3,0.3,0.012,-4.6,-0.8,langhda01,2000
32,CHI,A.J. Guyton,Indiana,3.0,80,1246,442.0,80.0,147.0,0.377,0.378,0.822,15.6,5.5,1.0,1.8,0.3,0.01,-2.9,-0.3,guytoaj01,2000
33,CHI,Jake Voskuhl,UConn,9.0,450,6443,1814.0,1539.0,237.0,0.487,0.333,0.714,14.3,4.0,3.4,0.5,11.6,0.087,-3.8,-3.0,voskuja01,2000
34,CHI,Khalid El-Amin,UConn,1.0,50,936,314.0,81.0,145.0,0.37,0.333,0.778,18.7,6.3,1.6,2.9,0.6,0.03,-2.4,-0.1,elamikh01,2000
35,WAS,Mike Smith,Louisiana-Monroe,1.0,17,180,51.0,22.0,10.0,0.322,0.167,0.625,10.6,3.0,1.3,0.6,-0.1,-0.033,-4.2,-0.1,smithmi03,2000
36,NJN,Soumaila Samake,,2.0,47,303,68.0,76.0,5.0,0.389,0.0,0.462,6.4,1.4,1.6,0.1,0.3,0.046,-3.7,-0.1,samakso01,2000
37,MIA,Eddie House,Arizona State,11.0,717,12405,5356.0,1223.0,1112.0,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20.0,0.077,0.0,6.1,houseed01,2000
38,HOU,Eduardo Nájera,Oklahoma,12.0,619,11213,3052.0,2307.0,493.0,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106,-0.9,3.0,najered01,2000
39,NYK,Lavor Postell,St. John's,3.0,61,446,195.0,45.0,13.0,0.335,0.25,0.795,7.3,3.2,0.7,0.2,-0.2,-0.025,-5.0,-0.3,postela01,2000
40,ATL,Hanno Möttölä,Utah,2.0,155,2360,715.0,442.0,75.0,0.442,0.063,0.783,15.2,4.6,2.9,0.5,0.9,0.019,-5.9,-2.3,mottoha01,2000
41,SAS,Chris Carrawell,Duke,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carrach01,2000
42,SEA,Olumide Oyedeji,,3.0,93,587,127.0,196.0,11.0,0.495,0.0,0.659,6.3,1.4,2.1,0.1,1.2,0.095,-4.3,-0.3,oyedeol01,2000
43,MIL,Michael Redd,Ohio State,12.0,629,20104,11972.0,2411.0,1338.0,0.447,0.38,0.838,32.0,19.0,3.8,2.1,55.9,0.134,2.2,21.4,reddmi01,2000
44,DET,Brian Cardinal,Purdue,12.0,456,6477,2108.0,1050.0,465.0,0.408,0.372,0.861,14.2,4.6,2.3,1.0,15.4,0.114,-0.1,3.2,cardibr01,2000
45,SAC,Jabari Smith,LSU,4.0,108,1063,329.0,178.0,66.0,0.413,0.125,0.69,9.8,3.0,1.6,0.6,1.3,0.058,-4.3,-0.6,smithja01,2000
46,TOR,DeeAndre Hulett,College of the Sequoias,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,huletde01,2000
47,SEA,Josip Sesar,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sesarjo01,2000
48,PHI,Mark Karcher,Temple,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,karchma01,2000
49,MIL,Jason Hart,Syracuse,9.0,341,5289,1623.0,567.0,774.0,0.417,0.315,0.788,15.5,4.8,1.7,2.3,8.6,0.078,-1.2,1.0,hartja01,2000
50,UTA,Kaniel Dickens,Idaho,3.0,19,85,22.0,12.0,2.0,0.4,0.333,0.75,4.5,1.2,0.6,0.1,0.1,0.055,-3.0,0.0,dickeka01,2000
51,MIN,Igor Rakočević,,1.0,42,244,78.0,17.0,33.0,0.379,0.417,0.806,5.8,1.9,0.4,0.8,0.1,0.022,-4.9,-0.2,rakocig01,2000
52,MIA,Ernest Brown,Indian Hills Community College,1.0,3,21,3.0,6.0,0.0,0.167,0.0,0.25,7.0,1.0,2.0,0.0,-0.2,-0.349,-18.2,-0.1,browner01,2000
53,DEN,Dan McClintock,Northern Arizona University,1.0,6,58,18.0,17.0,1.0,0.5,0.0,0.0,9.7,3.0,2.8,0.2,0.0,0.007,-7.9,-0.1,mcclida01,2000
54,SAS,Cory Hightower,Indian Hills Community College,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hightco01,2000
55,GSW,Chris Porter,Auburn,1.0,51,1147,440.0,189.0,61.0,0.389,0.0,0.667,22.5,8.6,3.7,1.2,0.2,0.008,-4.5,-0.7,portech01,2000
56,IND,Jaquay Walls,Colorado,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wallsja01,2000
57,ATL,Scoonie Penn,Ohio State,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pennsc01,2000
58,DAL,Pete Mickeal,Cincinnati,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mickepe01,2000
1,WAS,Kwame Brown,,12.0,607,13389,4035.0,3333.0,554.0,0.492,0.111,0.57,22.1,6.6,5.5,0.9,20.8,0.074,-2.4,-1.3,brownkw01,2001
2,LAC,Tyson Chandler,,19.0,1160,31617,9509.0,10467.0,967.0,0.597,0.0,0.644,27.3,8.2,9.0,0.8,102.1,0.155,0.1,16.9,chandty01,2001
3,ATL,Pau Gasol,,18.0,1226,41001,20894.0,11305.0,3925.0,0.507,0.368,0.753,33.4,17.0,9.2,3.2,144.1,0.169,3.6,57.5,gasolpa01,2001
4,CHI,Eddy Curry,,11.0,527,13109,6820.0,2725.0,287.0,0.545,1.0,0.642,24.9,12.9,5.2,0.5,21.7,0.08,-2.4,-1.3,curryed01,2001
5,GSW,Jason Richardson,Michigan State,13.0,857,29241,14644.0,4245.0,2284.0,0.438,0.37,0.707,34.1,17.1,5.0,2.7,59.1,0.097,1.2,23.8,richaja01,2001
6,MEM,Shane Battier,Duke,13.0,977,30004,8408.0,4082.0,1717.0,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,1.7,28.2,battish01,2001
7,NJN,Eddie Griffin,Seton Hall,5.0,303,6729,2171.0,1744.0,236.0,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,0.078,-0.4,2.8,griffed01,2001
8,CLE,DeSagana Diop,,12.0,601,8403,1185.0,2219.0,270.0,0.427,0.167,0.467,14.0,2.0,3.7,0.4,12.8,0.073,-1.9,0.2,diopde01,2001
9,DET,Rodney White,UNC Charlotte,4.0,218,3354,1540.0,485.0,237.0,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026,-2.2,-0.1,whitero02,2001
10,BOS,Joe Johnson,Arkansas,18.0,1277,44236,20407.0,5059.0,5001.0,0.441,0.371,0.802,34.6,16.0,4.0,3.9,82.9,0.09,0.4,26.5,johnsjo02,2001
11,BOS,Kedrick Brown,Okaloosa-Walton Community College,4.0,143,1935,509.0,347.0,103.0,0.405,0.274,0.64,13.5,3.6,2.4,0.7,3.0,0.074,-1.1,0.4,brownke01,2001
12,SEA,Vladimir Radmanović,,12.0,737,16164,5879.0,2784.0,998.0,0.415,0.378,0.758,21.9,8.0,3.8,1.4,26.5,0.079,-0.1,7.6,radmavl01,2001
13,HOU,Richard Jefferson,Arizona,17.0,1181,34293,14904.0,4720.0,2412.0,0.464,0.376,0.768,29.0,12.6,4.0,2.0,83.0,0.116,0.2,19.4,jefferi01,2001
14,GSW,Troy Murphy,Notre Dame,12.0,729,19921,7860.0,5708.0,1088.0,0.445,0.388,0.785,27.3,10.8,7.8,1.5,50.3,0.121,0.1,10.6,murphtr01,2001
15,ORL,Steven Hunter,DePaul,8.0,400,5993,1817.0,1264.0,79.0,0.56,0.0,0.485,15.0,4.5,3.2,0.2,10.6,0.085,-2.3,-0.5,huntest01,2001
16,CHH,Kirk Haston,Indiana,2.0,27,134,32.0,27.0,8.0,0.232,0.0,0.5,5.0,1.2,1.0,0.3,-0.5,-0.197,-13.3,-0.4,hastoki01,2001
17,TOR,Michael Bradley,Villanova,5.0,173,2016,483.0,591.0,93.0,0.477,0.143,0.511,11.7,2.8,3.4,0.5,2.0,0.047,-4.0,-1.0,bradlmi01,2001
18,HOU,Jason Collins,Stanford,13.0,735,14974,2621.0,2706.0,626.0,0.411,0.206,0.647,20.4,3.6,3.7,0.9,20.1,0.064,-3.7,-6.5,collija04,2001
19,POR,Zach Randolph,Michigan State,17.0,1116,34616,18578.0,10208.0,2049.0,0.471,0.273,0.764,31.0,16.6,9.1,1.8,81.1,0.112,0.2,18.8,randoza01,2001
