pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,player_id,season
45,SEA,Chris King,Wake Forest,3.0,103,2058,693.0,311.0,116.0,0.423,0.383,0.633,20.0,6.7,3.0,1.1,1.0,0.023,-2.8,-0.4,kingch01,1992
46,DEN,Robert Werdann,St. John's,3.0,47,273,101.0,81.0,9.0,0.378,0.0,0.574,5.8,2.1,1.7,0.2,0.1,0.026,-6.3,-0.3,werdaro01,1992
47,BOS,Darren Morningstar,Pitt,1.0,23,367,96.0,81.0,15.0,0.476,0.0,0.6,16.0,4.2,3.5,0.7,0.4,0.048,-4.5,-0.2,mornida01,1992
48,PHO,Brian Davis,Duke,1.0,68,374,131.0,55.0,22.0,0.317,0.333,0.735,5.5,1.9,0.8,0.3,0.0,0.0,-4.7,-0.3,davisbr02,1992
49,PHO,Ron Ellis,Louisiana Tech,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ellisro01,1992
50,GSW,Matt Fish,UNC Wilmington,3.0,50,512,177.0,110.0,25.0,0.5,0.0,0.625,10.2,3.5,2.2,0.5,0.6,0.058,-3.1,-0.1,fishma01,1992
51,MIN,Tim Burroughs,Jacksonville University,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burroti01,1992
52,CHI,Matt Steigenga,Michigan State,1.0,2,12,3.0,3.0,2.0,0.25,0.0,0.5,6.0,1.5,1.5,1.0,0.0,-0.126,-8.5,0.0,steigma01,1992
53,HOU,Curtis Blair,Richmond,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blaircu01,1992
54,SAC,Brett Roberts,Morehead State University,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roberbr02,1992
1,ORL,Chris Webber,Michigan,15.0,831,30847,17182.0,8124.0,3526.0,0.479,0.299,0.649,37.1,20.7,9.8,4.2,84.7,0.132,3.4,42.1,webbech01,1993
2,PHI,Shawn Bradley,BYU,12.0,832,19531,6752.0,5268.0,573.0,0.457,0.103,0.716,23.5,8.1,6.3,0.7,40.7,0.1,-0.2,8.9,bradlsh01,1993
3,GSW,Anfernee Hardaway,Memphis,14.0,704,23711,10684.0,3146.0,3525.0,0.458,0.316,0.774,33.7,15.2,4.5,5.0,61.9,0.125,2.5,26.9,hardaan01,1993
4,DAL,Jamal Mashburn,Kentucky,11.0,611,22762,11644.0,3271.0,2414.0,0.418,0.345,0.766,37.3,19.1,5.4,4.0,43.7,0.092,0.3,13.4,mashbja01,1993
5,MIN,Isaiah Rider,UNLV,9.0,563,17851,9405.0,2166.0,1535.0,0.443,0.352,0.812,31.7,16.7,3.8,2.7,22.8,0.061,-1.0,4.5,rideris01,1993
6,WSB,Calbert Cheaney,Indiana,13.0,825,22007,7826.0,2610.0,1398.0,0.466,0.298,0.691,26.7,9.5,3.2,1.7,23.1,0.05,-2.5,-2.9,cheanca01,1993
7,SAC,Bobby Hurley,Duke,5.0,269,4170,1032.0,283.0,880.0,0.353,0.272,0.769,15.5,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5,hurlebo01,1993
8,MIL,Vin Baker,University of Hartford,13.0,791,25737,11839.0,5867.0,1509.0,0.485,0.215,0.638,32.5,15.0,7.4,1.9,47.0,0.088,-1.2,5.3,bakervi01,1993
9,DEN,Rodney Rogers,Wake Forest,12.0,866,21873,9468.0,3881.0,1722.0,0.451,0.347,0.69,25.3,10.9,4.5,2.0,38.8,0.085,-0.3,9.7,rogerro01,1993
10,DET,Lindsey Hunter,Jackson State University,17.0,937,23253,7956.0,2021.0,2506.0,0.388,0.36,0.746,24.8,8.5,2.2,2.7,32.9,0.068,-0.4,9.4,hunteli01,1993
11,DET,Allan Houston,Tennessee,12.0,839,28311,14551.0,2434.0,1990.0,0.444,0.402,0.863,33.7,17.3,2.9,2.4,55.3,0.094,0.1,15.0,houstal01,1993
12,LAL,George Lynch,UNC,12.0,774,17683,5109.0,3902.0,1121.0,0.446,0.306,0.652,22.8,6.6,5.0,1.4,32.3,0.088,-0.4,7.3,lynchge01,1993
13,LAC,Terry Dehere,Seton Hall,6.0,402,7305,3235.0,588.0,1034.0,0.411,0.378,0.779,18.2,8.0,1.5,2.6,7.3,0.048,-2.6,-1.1,deherte01,1993
